site_id,config,mode,features,n_features,n_seeds,rmse_mean,rmse_std,rmse_min,rmse_max,ss_rmse_mean,ss_rmse_std,kge_mean,kge_std,pbias_mean,pbias_std,nwm_rmse_mean,rmse_se,rmse_ci95_half_width,ss_rmse_se,ss_rmse_ci95_half_width,kge_se,kge_ci95_half_width,pbias_se,pbias_ci95_half_width
03161000,reduced_nonredundant,reduced,precip_mm|temp_c|soil_moisture_vwc|doy_sin|doy_cos,5,3,12.209252360926692,1.4264027940665163,11.170880970789298,13.835670449411001,0.2214346881689637,0.09095952015154898,0.6329452313031774,0.16564944857340796,-15.956015985078322,6.363332905697086,15.681731738359716,0.8235340371271376,1.6141267127691896,0.052515503444856,0.10293038675191775,0.09563775372497016,0.1874499973009415,3.6738719660474164,7.200789053452936
03161000,all_eligible_era5,all,temp_c|precip_mm|soil_moisture_vwc|doy_sin|doy_cos|month_sin|month_cos,7,3,13.116526719737225,0.3740878840938638,12.83113389088237,13.540034360711049,0.1635791927461455,0.023855011062253545,0.5343200288824996,0.001143469171519042,-19.31643362489676,2.0732495011144145,15.681731738359716,0.2159797405821698,0.4233202915410528,0.013772697058313585,0.026994486234294627,0.0006601822339865573,0.0012939571786136522,1.1969911575656647,2.3461026688287028
03161000,drop_group_seasonal_time,drop_group,temp_c|precip_mm|soil_moisture_vwc,3,3,13.209414046460116,1.790162347382065,11.48438355147605,15.058277900437572,0.15765591027500903,0.11415590938869824,0.5232700332741491,0.14153262466291908,-20.405752662209228,5.76238858711515,15.681731738359716,1.0335507131541677,2.025759397782169,0.06590794501515146,0.12917957222969687,0.0817138989482506,0.16015924193857117,3.3269166019461593,6.520756539814472
03161000,drop_month_sin,drop_feature,temp_c|precip_mm|soil_moisture_vwc|doy_sin|doy_cos|month_cos,6,3,13.239590692681752,0.6793221981593495,12.480094870590081,13.789200962951236,0.1557315917925152,0.04331933548497275,0.5276868416953302,0.054178233273365024,-18.36519145895949,2.3041294966116697,15.681731738359716,0.39220685397378874,0.7687254337886259,0.025010430003364725,0.04902044280659486,0.031279817564595636,0.06130844242660744,1.3302897851165045,2.607367978828349
03161000,drop_doy_sin,drop_feature,temp_c|precip_mm|soil_moisture_vwc|doy_cos|month_sin|month_cos,6,3,13.329297037636357,1.1711259881255762,12.327328326702016,14.616780030606822,0.15001115565374534,0.07468090945981674,0.5175159092665865,0.09943927588726112,-19.2339091208754,2.2237111282408564,15.681731738359716,0.6761499044992679,1.3252538128185651,0.04311704317995127,0.08450940463270448,0.057411292701531676,0.11252613369500208,1.283860218489825,2.5163660282400566
03161000,drop_doy_cos,drop_feature,temp_c|precip_mm|soil_moisture_vwc|doy_sin|month_sin|month_cos,6,3,13.369949940048846,1.019919025265714,12.367508629817012,14.4064914174335,0.14741878236929198,0.06503867316967611,0.5238160332945426,0.08412145776873872,-19.183850901849027,2.0048108766950583,15.681731738359716,0.5888505237887808,1.1541470266260103,0.0375500954622486,0.07359818710600725,0.04856754628740504,0.09519239072331388,1.1574780993341816,2.2686570746949957
03161000,drop_month_cos,drop_feature,temp_c|precip_mm|soil_moisture_vwc|doy_sin|doy_cos|month_sin,6,3,13.525842100506411,1.2365255082786475,12.533019735922506,14.910916968851916,0.13747777820862053,0.07885133663228869,0.5055300115250136,0.09832493367593252,-18.572428560897446,1.8563484447449348,15.681731738359716,0.713908335064516,1.3992603367264513,0.045524840430613674,0.0892286872440028,0.056767926925851746,0.11126513677466943,1.0717632742832313,2.100656017595133
03161000,drop_group_soil_moisture,drop_group,temp_c|precip_mm|doy_sin|doy_cos|month_sin|month_cos,6,3,13.754321761837724,1.0901926508512008,12.496199530941327,14.42034711761589,0.12290798036082169,0.06951991457578865,0.500540128833138,0.11532060572988603,-20.555047278822453,4.393781583763456,15.681731738359716,0.6294230204374925,1.2336691200574854,0.04013734139437137,0.07866918913296789,0.06658038276126041,0.1304975502120704,2.5367509801462518,4.9720319210866535
03161000,drop_temp_c,drop_feature,precip_mm|soil_moisture_vwc|doy_sin|doy_cos|month_sin|month_cos,6,3,13.914918625785054,0.5550760730144273,13.282801805341842,14.322795829386298,0.11266696446877682,0.035396350497224366,0.48318638221400817,0.05609623300621373,-17.730822800234126,2.4960156033854575,15.681731738359716,0.3204733201756,0.6281277075441759,0.020436092487902832,0.04005474127628955,0.03238717522666147,0.06347886344425649,1.4410752805161002,2.8245075498115564
03161000,drop_soil_moisture_vwc,drop_feature,temp_c|precip_mm|doy_sin|doy_cos|month_sin|month_cos,6,3,13.93281292582481,0.35088973244781607,13.5771702328234,14.278748253074674,0.11152587237905653,0.022375700483989937,0.4918486158774797,0.08961019375598406,-19.681276556186557,5.997176997179384,15.681731738359716,0.20258628148462238,0.39706911170985987,0.01291861669773803,0.025320488727566537,0.05173646948715192,0.10140348019481776,3.462471753699349,6.786444637250724
03161000,drop_group_temperature_humidity,drop_group,precip_mm|soil_moisture_vwc|doy_sin|doy_cos|month_sin|month_cos,6,3,14.052877567302913,0.41124330681806687,13.605339169306896,14.414135289974821,0.10386953419643052,0.026224355427029025,0.4654427303065993,0.03846045793237208,-19.30748325978369,1.1907566983179125,15.681731738359716,0.23743143389384277,0.4653656104319318,0.015140638665119631,0.029675651783634478,0.0222051557404113,0.043522105251206145,0.6874837003131968,1.3474680526138658
03161000,drop_group_precipitation,drop_group,temp_c|soil_moisture_vwc|doy_sin|doy_cos|month_sin|month_cos,6,3,14.111546796766893,0.6098452019250331,13.420149500133071,14.57295414815564,0.1001282873467303,0.038888893911714226,0.4649626361812773,0.049864241738544854,-19.40650094183255,1.6069738392778694,15.681731738359716,0.35209429149541954,0.6901048113310223,0.022452513368415007,0.04400692620209341,0.028789133390685447,0.05642670144574347,0.9277867786877644,1.818462086228018
03161000,drop_precip_mm,drop_feature,temp_c|soil_moisture_vwc|doy_sin|doy_cos|month_sin|month_cos,6,3,14.622385213527574,0.4026935219423962,14.24668908311353,15.047512409313555,0.06755290439262078,0.025679148748435226,0.43189217268137714,0.04408735028261583,-21.321552021819087,2.2174017446248953,15.681731738359716,0.23249521329436093,0.45569061805694744,0.01482586344246952,0.029058692347240258,0.025453843553525576,0.04988953336491013,1.2802174941607292,2.509226288555029
03161000,single_soil_moisture_vwc,single_feature,soil_moisture_vwc,1,3,15.081903509450642,0.490352718903568,14.516173894442604,15.384974527961777,0.038250126893945614,0.03126904139700954,0.3940371604411945,0.033455538779503816,-20.71838136070188,1.8849243757136158,15.681731738359716,0.2831052742568399,0.5548863375434062,0.01805318946786501,0.03538425135701542,0.019315564320230492,0.037858506067651766,1.0882615957203434,2.132992727611873
03161000,group_soil_moisture,single_group,soil_moisture_vwc,1,3,15.274856232310597,0.2312340831340684,15.00961672897761,15.434031691585934,0.025945827465843247,0.014745443104886019,0.3825541453955119,0.015468558750602199,-20.91544008428764,1.973933944122983,15.681731738359716,0.1335030601432707,0.2616659978808106,0.008513285545926254,0.01668603967001546,0.00893077655863572,0.01750432205492601,1.139651294001944,2.2337165362438105
03161000,single_month_sin,single_feature,month_sin,1,3,15.430967478667874,0.045286677148796854,15.397734484489677,15.4825490898086,0.01599085253310621,0.0028878619979207498,0.3698243349099914,0.004598758694607298,-26.0673660088115,0.4943754301378127,15.681731738359716,0.02614627524256154,0.05124669947542062,0.0016673079018820355,0.0032679234876887894,0.002655094570269656,0.005203985357728525,0.28542778767080323,0.5594384638347744
