experiment,site_id,site_name,site_type,watershed,rmse_improvement_pct,baseline_rmse,baseline_nse,baseline_kge,baseline_pbias,corrected_rmse,corrected_nse,corrected_kge,corrected_pbias,nse_improvement,kge_improvement,pbias_improvement
physics,03161000,"South Fork New River near Jefferson, NC",mid-basin,New River,21.514450007478125,15.681731738359716,0.4311825061382557,0.3685654246706028,-24.736287455544595,12.307893403203485,0.6496094728155106,0.6780926052378542,-10.359448506755745,0.21842696667725492,0.30952718056725137,14.37683894878885
baseline,03161000,"South Fork New River near Jefferson, NC",mid-basin,New River,7.765255537512526,15.681731738359716,0.4311825061382557,0.3685654246706028,-24.736287455544595,14.464005196168879,0.5160928464027024,0.4413731496483241,-21.247068436474486,0.08491034026444666,0.07280772497772126,3.4892190190701093
causal,03164000,"New River near Galax, VA",mainstem,New River,21.327409711579904,77.55168623862751,0.26793526281438174,0.472687147870145,-13.984678114530478,61.01192037627649,0.5468975746498277,0.6828793963927835,-3.7759045214968703,0.27896231183544595,0.21019224852263851,10.208773593033609
direct,03164000,"New River near Galax, VA",mainstem,New River,16.125847913734074,77.55168623862751,0.26793526281438174,0.472687147870145,-13.984678114530478,65.0458192612502,0.4850017261940538,0.5676439178358005,-15.38075946286009,0.21706646337967206,0.0949567699656555,-1.396081348329611
baseline,03486000,"Watauga River at Elizabethton, TN",regulated,Watauga,-12.845832584059348,27.372321765962177,0.45421441582391586,0.5118699441488506,-15.513548261396227,30.888524394387716,0.3049867075462861,0.6548760705104661,15.639790289518073,-0.14922770827762977,0.14300612636161558,-0.1262420281218457
physics,03486000,"Watauga River at Elizabethton, TN",regulated,Watauga,-6.47075388918188,27.372321765962177,0.45421441582391586,0.5118699441488506,-15.513548261396227,29.143517341192553,0.3812962919558658,0.6812690701252258,9.16679807202413,-0.07291812386805008,0.1693991259763752,6.346750189372097
combined,03164000,"New River near Galax, VA",mainstem,New River,20.08701231945612,77.55168623862751,0.26793526281438174,0.472687147870145,-13.984678114530478,61.973869469928445,0.5324971923568622,0.6075855530625979,-13.746082962569655,0.2645619295424805,0.13489840519245289,0.2385951519608227
physics,03479000,"Watauga River near Sugar Grove, NC",headwaters,Watauga,2.5566363859378254,7.9234176558673495,0.6170966948230197,0.6824295367669914,0.5829215135687795,7.720844677067623,0.6364253047506906,0.6466683424473227,-11.167210305889945,0.019328609927670937,-0.03576119431966862,-10.584288792321166
baseline,03479000,"Watauga River near Sugar Grove, NC",headwaters,Watauga,3.1238829307358915,7.9234176558673495,0.6170966948230197,0.6824295367669914,0.5829215135687795,7.6758993641847955,0.6406459350805178,0.6494782842589953,-10.03233634527086,0.02354924025749816,-0.03295125250799602,-9.44941483170208
direct,03161000,"South Fork New River near Jefferson, NC",mid-basin,New River,11.962996598608653,15.681731738359716,0.4311825061382557,0.3685654246706028,-24.736287455544595,13.80572670389681,0.5591372068640619,0.47586808754646825,-20.18433639789179,0.12795470072580617,0.10730266287586543,4.551951057652804
causal,03161000,"South Fork New River near Jefferson, NC",mid-basin,New River,14.68467177769459,15.681731738359716,0.4311825061382557,0.3685654246706028,-24.736287455544595,13.378920903523031,0.585974513269522,0.531009495175599,-18.66516590629471,0.15479200713126628,0.1624440705049962,6.0711215492498845
direct,03479000,"Watauga River near Sugar Grove, NC",headwaters,Watauga,5.843515243683889,7.9234176558673495,0.6170966948230197,0.6824295367669914,0.5829215135687795,7.460411537326,0.6605392335403761,0.6940397751864247,-6.638886045380704,0.04344253871735648,0.011610238419433316,-6.055964531811925
causal,03479000,"Watauga River near Sugar Grove, NC",headwaters,Watauga,2.6374528637190546,7.9234176558673495,0.6170966948230197,0.6824295367669914,0.5829215135687795,7.714441249998255,0.6370281296243935,0.6375246026662988,-10.469055651678582,0.019931434801373826,-0.04490493410069252,-9.886134138109803
combined,03486000,"Watauga River at Elizabethton, TN",regulated,Watauga,-98.1086427779541,27.372321765962177,0.45421441582391586,0.5118699441488506,-15.513548261396227,54.226935147362184,-1.1420465566249391,0.14147710351641285,37.41902629584168,-1.596260972448855,-0.3703928406324377,-21.905478034445455
baseline,03164000,"New River near Galax, VA",mainstem,New River,10.573031644503658,77.55168623862751,0.26793526281438174,0.472687147870145,-13.984678114530478,69.35212191177123,0.41455445710064986,0.5435377744773737,-12.961877132515284,0.14661919428626813,0.07085062660722874,1.0228009820151946
physics,03164000,"New River near Galax, VA",mainstem,New River,12.625990116672668,77.55168623862751,0.26793526281438174,0.472687147870145,-13.984678114530478,67.7600179988254,0.44112584967747925,0.5643006271241711,-11.643603040733172,0.17319058686309752,0.09161347925402608,2.341075073797306
combined,03479000,"Watauga River near Sugar Grove, NC",headwaters,Watauga,3.793346253733543,7.9234176558673495,0.6170966948230197,0.6824295367669914,0.5829215135687795,7.622854989050843,0.6455954134033397,0.6604302630930203,-9.886037126208562,0.028498718580320048,-0.02199927367397103,-9.303115612639782
causal,03486000,"Watauga River at Elizabethton, TN",regulated,Watauga,0.52932073831497,27.372321765962177,0.45421441582391586,0.5118699441488506,-15.513548261396227,27.227434390296636,0.45997703654674005,0.7059260097587337,3.979686266408821,0.0057626207228241855,0.1940560656098831,11.533861994987406
direct,03486000,"Watauga River at Elizabethton, TN",regulated,Watauga,-11.320954575359872,27.372321765962177,0.45421441582391586,0.5118699441488506,-15.513548261396227,30.471129879308098,0.32364313265391953,0.6483755478277771,6.93224517867687,-0.13057128316999633,0.1365056036789265,8.581303082719359
